,name,neighbourhood_cleansed,latitude,longitude,listing_url,number_of_reviews_ltm,review_scores_rating
64,Level | One Bedroom Suite | Downtown Vancouver,Downtown,49.27741,-123.12292,https://www.airbnb.com/rooms/507767,0,5.0
65,Modern Architectural lakeside Home On The Park,Kensington-Cedar Cottage,49.25759,-123.06393,https://www.airbnb.com/rooms/540348,7,4.86
66,Commercial Dr West Coast Garden Ste,Grandview-Woodland,49.27917,-123.06246,https://www.airbnb.com/rooms/557357,4,4.89
67,5 min walk to St Paul’s hospital & Davie St.,Downtown,49.27713,-123.13155,https://www.airbnb.com/rooms/569160,3,4.85
68,Sub-Penthouse with Amazing Views in Heart of City,Downtown,49.27999,-123.1075,https://www.airbnb.com/rooms/622217,6,4.95
69,Quiet Oasis Garden Suite - Steps from the Drive,Grandview-Woodland,49.26775,-123.06862,https://www.airbnb.com/rooms/648026,1,4.86
70,English Bay Hideaway @ Stanley Park,West End,49.29178,-123.14175,https://www.airbnb.com/rooms/654744,4,4.77
71,1 Bedroom Private Furnished Suite,Kensington-Cedar Cottage,49.2506,-123.07175,https://www.airbnb.com/rooms/654763,0,4.7
72,Nice room in amazing luxury home near DOWNTOWN+UBC,South Cambie,49.24413,-123.11955,https://www.airbnb.com/rooms/659986,0,4.33
73,Entire cute  condo full of art,Downtown,49.27945,-123.10875,https://www.airbnb.com/rooms/703179,13,4.79
74,Luxury Seaview Studio Suite - Westend,West End,49.28104,-123.13621,https://www.airbnb.com/rooms/713271,6,4.76
75,Kitsilano Laneway House - Quiet Neighbourhood,Kitsilano,49.26026,-123.18195,https://www.airbnb.com/rooms/731219,0,4.91
76,English Bay Views,West End,49.28059,-123.1364,https://www.airbnb.com/rooms/735468,19,4.67
77,Kitsilano 2 bdrm Garden Level Suite,Kitsilano,49.25996,-123.16653,https://www.airbnb.com/rooms/755558,2,4.86
78,Very Convenient Mini-suite,Renfrew-Collingwood,49.24438,-123.04453,https://www.airbnb.com/rooms/763445,4,4.75
79,Level | Studio | Lux Amenities Downtown Vancouver,Downtown,49.2794,-123.12181,https://www.airbnb.com/rooms/771366,0,5.0
80,Level | Two Bedroom Suite | Lux Amenities Downtown,Downtown,49.27918,-123.12187,https://www.airbnb.com/rooms/771380,0,4.57
81,The Garden Quarter in Kitsilano,Kitsilano,49.26186,-123.17438,https://www.airbnb.com/rooms/784153,6,4.78
82,The Nook in Kitsilano,Kitsilano,49.26355,-123.17326,https://www.airbnb.com/rooms/785297,8,4.91
83,The Garden Nook in Kitsilano,Kitsilano,49.26213,-123.17482,https://www.airbnb.com/rooms/785752,0,5.0
84,Exellent for International Student,West End,49.28087,-123.13525,https://www.airbnb.com/rooms/796603,0,
85,fully furnished suite near VGH,Fairview,49.25804,-123.12119,https://www.airbnb.com/rooms/801222,2,4.59
86,East Village Private Garden Gem!,Hastings-Sunrise,49.28618,-123.05403,https://www.airbnb.com/rooms/824612,2,4.57
87,1 bedroom+Den Monthly rentals only,Downtown,49.27317,-123.11961,https://www.airbnb.com/rooms/828920,2,4.75
88,Sunny room with private bathroom and large patio,Fairview,49.25785,-123.12199,https://www.airbnb.com/rooms/874731,4,4.53
89,Heritage Home near Kits Beach,Kitsilano,49.27073,-123.16325,https://www.airbnb.com/rooms/875309,1,4.72
90,"Dunbar near UBC: Clean, comfortable + quiet",Dunbar Southlands,49.24803,-123.18517,https://www.airbnb.com/rooms/885600,7,4.92
91,The Nicola House in English bay,West End,49.28649,-123.13458,https://www.airbnb.com/rooms/939882,19,4.63
92,Private apartment-Yaletown Downtown,Downtown,49.27744,-123.11524,https://www.airbnb.com/rooms/958090,0,4.2
93,Oakridge Canada Line completely renovated home,Riley Park,49.23569,-123.10987,https://www.airbnb.com/rooms/961006,0,4.33
94,Spacious Room in Character Home,Kitsilano,49.26648,-123.15939,https://www.airbnb.com/rooms/961831,15,5.0
95,"261 Yaletown Studio at ""Space""",Downtown,49.27489,-123.12654,https://www.airbnb.com/rooms/980511,0,4.71
96,152 Studio (no Bedroom),Downtown,49.28006,-123.12673,https://www.airbnb.com/rooms/994969,0,5.0
97,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,West End,49.28837,-123.12766,https://www.airbnb.com/rooms/995174,0,4.58
98,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,Downtown,49.27804,-123.12531,https://www.airbnb.com/rooms/1007137,0,4.0
99,S1-VIBRANT DOWNTOWN 1-BR + den!,Downtown,49.27828,-123.12671,https://www.airbnb.com/rooms/1007144,0,5.0
100,comfy stay in clean victorian house,Mount Pleasant,49.25674,-123.0874,https://www.airbnb.com/rooms/1012385,21,4.8
101,Deluxe Junior One Bedroom (2 Beds),Downtown,49.27747,-123.12098,https://www.airbnb.com/rooms/1021607,6,4.85
102,Yaletown Deluxe Studio Condominium,Downtown,49.27703,-123.12692,https://www.airbnb.com/rooms/1021669,3,4.75
103,Artist's Character home in 'hip' Commercial Drive,Grandview-Woodland,49.27241,-123.06332,https://www.airbnb.com/rooms/1032892,11,4.79
104,FURNISHED 1 BED + DEN IN YALETOWN,Downtown,49.27613,-123.12389,https://www.airbnb.com/rooms/1090662,0,
105,Modern Downtown-2BR+2Bath+Den+Office+Pkg-Monthly,Downtown,49.28028,-123.10737,https://www.airbnb.com/rooms/1103566,10,4.67
106,136 Lord Stanley Great price!,West End,49.29258,-123.13446,https://www.airbnb.com/rooms/1109821,0,4.45
107,Family-Friendly Kitsilano House with Mountain Views,Kitsilano,49.26008,-123.15989,https://www.airbnb.com/rooms/1113551,2,4.86
108,*Best choice in downtown-5 Stars * -3,West End,49.28239,-123.13021,https://www.airbnb.com/rooms/1118858,0,4.53
109,Yaletown/Downtown  1 Bedroom Condo,Downtown,49.28119,-123.12033,https://www.airbnb.com/rooms/1126273,0,0.0
110,2 Bdrm in Strathcona,Downtown Eastside,49.27925,-123.08814,https://www.airbnb.com/rooms/1141457,6,4.77
111,Bright & Tidy Character Apartment,Grandview-Woodland,49.2726,-123.06988,https://www.airbnb.com/rooms/1162198,1,4.69
112,Cozy space in East Vancouver,Hastings-Sunrise,49.26957,-123.04828,https://www.airbnb.com/rooms/1178149,7,4.93
113,Luxury Spacious Condo by Kits Beach,Kitsilano,49.27271,-123.14924,https://www.airbnb.com/rooms/1206606,0,4.7
114,Cool cozy suite on The Drive,Grandview-Woodland,49.26731,-123.06909,https://www.airbnb.com/rooms/1214617,1,4.86
115,Stunning Suite Heart of DT w/Parking and Office,Downtown,49.27843,-123.12901,https://www.airbnb.com/rooms/1223989,1,4.85
116,Private Hotel-Style Suite in a Downtown Boutique High-Rise,Downtown,49.28478,-123.1192,https://www.airbnb.com/rooms/1273760,36,4.85
117,Clean New Kits 3 bedroom/ 2bath!,Kitsilano,49.26889,-123.18543,https://www.airbnb.com/rooms/1291394,0,4.89
118,120 501 Pacific,Downtown,49.28279,-123.1222,https://www.airbnb.com/rooms/1316419,0,4.5
119,224 Yaletown Park.  Long term stay welcome,Downtown,49.27859,-123.11993,https://www.airbnb.com/rooms/1316477,0,4.86
120,Cosy 1 bedroom apt Mount Pleasant,Mount Pleasant,49.25909,-123.10415,https://www.airbnb.com/rooms/1324743,1,4.46
121,Close to Anywhere: Location Location Location,Downtown Eastside,49.27627,-123.10013,https://www.airbnb.com/rooms/1343411,3,4.7
122,*Best choice in downtown-5 Stars* -1,West End,49.28247,-123.13068,https://www.airbnb.com/rooms/1343519,1,4.45
123,Ultra Modern Apartment in Yaletow,Downtown,49.284,-123.11432,https://www.airbnb.com/rooms/1360765,1,4.75
124,Private space in heritage home in lovely area,Kensington-Cedar Cottage,49.25808,-123.07538,https://www.airbnb.com/rooms/1361276,3,4.69
125,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,West End,49.27932,-123.12911,https://www.airbnb.com/rooms/1365609,12,4.88
126,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,West Point Grey,49.26026,-123.20135,https://www.airbnb.com/rooms/1378220,7,4.76
127,Stunning 1 Bedroom Laneway,Arbutus Ridge,49.23968,-123.16762,https://www.airbnb.com/rooms/1398788,3,4.91
128,Luxury 2 BDR With Wrap Around Deck,Mount Pleasant,49.26964,-123.11064,https://www.airbnb.com/rooms/1399744,2,4.9
129,Renovated Character Home - 3 Bdrm,Grandview-Woodland,49.26732,-123.06827,https://www.airbnb.com/rooms/1417881,1,4.86
130,One Bedroom & Secured Underground Parking,Downtown Eastside,49.28164,-123.11006,https://www.airbnb.com/rooms/1466647,0,4.23
131,244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,Downtown,49.29014,-123.12716,https://www.airbnb.com/rooms/1502887,0,4.8
132,Modern new room with private entry!,Riley Park,49.24882,-123.09121,https://www.airbnb.com/rooms/1507975,23,4.72
133,"114 Studio ""West of Denman""",West End,49.29101,-123.14085,https://www.airbnb.com/rooms/1525113,2,4.3
134,Private top floor on vibrant Main St,Riley Park,49.25259,-123.09292,https://www.airbnb.com/rooms/1623556,30,4.67
135,Garden Suite-Quiet/Private&Central,Riley Park,49.25225,-123.10756,https://www.airbnb.com/rooms/1629480,3,4.81
136,"Amazing 2000sqft Downtown loft, 3 patios + Parking",Downtown Eastside,49.28167,-123.10984,https://www.airbnb.com/rooms/1657214,1,5.0
137,"Bright, Modern Space on Beautiful Park",Kensington-Cedar Cottage,49.253,-123.0657,https://www.airbnb.com/rooms/1678734,0,4.87
138,Beautiful Kitsilano Apartment..,Kitsilano,49.26548,-123.14579,https://www.airbnb.com/rooms/1703616,0,
139,2 Bedroom Garden Flat - Main Street,Riley Park,49.24778,-123.09867,https://www.airbnb.com/rooms/1717967,17,4.91
140,DT Ocean view with luxury amenities and parking,Downtown,49.27781,-123.10637,https://www.airbnb.com/rooms/1733307,5,4.8
141,Master bedroom + private bathroom + secure parking,Kensington-Cedar Cottage,49.25349,-123.07603,https://www.airbnb.com/rooms/1736349,0,4.91
142,SoMa Suite - Main Street Cool,Riley Park,49.24489,-123.10302,https://www.airbnb.com/rooms/1768817,0,4.86
143,Film Industry loves this house! 5 min to VGH,Mount Pleasant,49.2585,-123.11479,https://www.airbnb.com/rooms/1820919,3,4.92
144,Cozy Retreat - Strathcona,Downtown Eastside,49.27866,-123.08627,https://www.airbnb.com/rooms/1830733,6,4.9
145,Main Street loft w/ rooftop patio and view!,Strathcona,49.26772,-123.0975,https://www.airbnb.com/rooms/1850984,2,4.81
146,156 One Bedroom in Downtown at The Electra,Downtown,49.28216,-123.12438,https://www.airbnb.com/rooms/1869071,0,4.67
147,Tinseltown Apartment,Downtown,49.27915,-123.10642,https://www.airbnb.com/rooms/1898584,3,4.73
148,Commercial Drive Garden Suite,Grandview-Woodland,49.26861,-123.06666,https://www.airbnb.com/rooms/1932171,0,4.64
149,Luxury affordable monthly stay in 1 BR,Shaughnessy,49.25646,-123.14563,https://www.airbnb.com/rooms/1936740,0,0.0
150,Stylish and Modern 2Bed West End Suite!,West End,49.28954,-123.13711,https://www.airbnb.com/rooms/1950844,24,4.78
151,Yaletown 1 Br Condo Monthly Only,Downtown,49.27336,-123.12771,https://www.airbnb.com/rooms/1961440,0,5.0
152,Family friendly & centrally located,Kerrisdale,49.22651,-123.14179,https://www.airbnb.com/rooms/1970354,5,4.74
153,"Charming ""Kitsilano Family Place""",Kitsilano,49.263252,-123.164825,https://www.airbnb.com/rooms/1995592,26,4.59
154,GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,Fairview,49.26263,-123.11627,https://www.airbnb.com/rooms/2003897,0,5.0
155,Amazing View from a Modern Loft,Strathcona,49.28519,-123.09872,https://www.airbnb.com/rooms/2008047,0,4.83
156,Sunny family-friendly house in Kits,Kitsilano,49.26057,-123.15881,https://www.airbnb.com/rooms/2011559,5,4.91
157,Experience Vancouver on the Drive!,Grandview-Woodland,49.26411,-123.06803,https://www.airbnb.com/rooms/2017305,0,4.64
158,Beautiful Kitsilano - Covid-19 Safe,Kitsilano,49.26715,-123.15325,https://www.airbnb.com/rooms/2033952,0,4.67
159,"Kitsilano Point, VERY CLEAN, welcoming and bright",Kitsilano,49.2753,-123.14721,https://www.airbnb.com/rooms/2041582,1,4.96
160,Yaletown 1BD Condo @ Homer & Robson,Downtown,49.28005,-123.11659,https://www.airbnb.com/rooms/2042431,5,4.9
161,2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,Riley Park,49.23573,-123.10819,https://www.airbnb.com/rooms/2046259,0,4.43
162,Cozy Modern apartment in Yaletown,Downtown,49.27393,-123.11599,https://www.airbnb.com/rooms/2056676,0,4.49
163,Gorgeous New House Double Ensuite,Renfrew-Collingwood,49.24976,-123.03547,https://www.airbnb.com/rooms/2084273,3,4.84
164,A spacious modern apartment,Mount Pleasant,49.2655,-123.0969,https://www.airbnb.com/rooms/2092610,5,4.71
165,Gorgeous New House Single Ensuite,Renfrew-Collingwood,49.24958,-123.0359,https://www.airbnb.com/rooms/2106364,1,4.81
166,good sized bedroom on second floor,Kitsilano,49.26933,-123.16177,https://www.airbnb.com/rooms/2108899,1,4.88
167,small room with single bed by beach,Kitsilano,49.26791,-123.16117,https://www.airbnb.com/rooms/2109035,0,5.0
168,South Granville 2 bedroom townhome,Fairview,49.25972,-123.14269,https://www.airbnb.com/rooms/2168943,0,4.93
169,Kitsilano PENTHOUSE,Kitsilano,49.26597,-123.15633,https://www.airbnb.com/rooms/2183209,11,4.74
170,5 star Luxury ShangriLa hotel condo,West End,49.28514,-123.12275,https://www.airbnb.com/rooms/2188113,0,4.86
171,Gorgeous home in Yaletown,Downtown,49.2773,-123.12294,https://www.airbnb.com/rooms/2198419,0,4.94
172,Central 1 bedrm Condo Downtown Van (min 30 days),Downtown,49.2804,-123.10726,https://www.airbnb.com/rooms/2209556,0,4.61
173,Bright Kitsilano Garden Apartment,West Point Grey,49.26992,-123.18596,https://www.airbnb.com/rooms/2216062,4,4.96
174,Charming Apartment just off Commercial Drive,Grandview-Woodland,49.27228,-123.06946,https://www.airbnb.com/rooms/2273714,3,4.8
175,The Perfect Place For Your Next Family Vacation,Dunbar Southlands,49.23792,-123.18224,https://www.airbnb.com/rooms/2282114,0,5.0
176,Yaletown Fully Furnished 17th Floor Condo,Downtown,49.27955,-123.12392,https://www.airbnb.com/rooms/2299515,1,4.36
177,Cozy garden sweet,Dunbar Southlands,49.24285,-123.18636,https://www.airbnb.com/rooms/2326272,0,4.0
178,Cozy Vancouver Suite near a park and transit,Kensington-Cedar Cottage,49.239,-123.08606,https://www.airbnb.com/rooms/2361393,1,4.67
179,Gem Modern Apartment in Yaletown,West End,49.28298,-123.12339,https://www.airbnb.com/rooms/2365994,0,4.84
180,Big Orange House,Mount Pleasant,49.25701,-123.09179,https://www.airbnb.com/rooms/2446828,30,4.89
181,Vancouver Quality Coach House,Kensington-Cedar Cottage,49.23748,-123.08735,https://www.airbnb.com/rooms/2454353,0,4.97
182,Monthly- Marinaside Ocean View Apartment -Yaletown,Downtown,49.27449,-123.11679,https://www.airbnb.com/rooms/2468591,0,4.67
183,New Edwardian home,Mount Pleasant,49.25877,-123.08299,https://www.airbnb.com/rooms/2502137,0,4.93
184,"Bright 1 bed suite, great location",Fairview,49.25865,-123.12294,https://www.airbnb.com/rooms/2576878,2,4.8
185,Ann's Place,South Cambie,49.25222,-123.1186,https://www.airbnb.com/rooms/2592307,32,4.91
186,Yvette's place,Hastings-Sunrise,49.2883,-123.04216,https://www.airbnb.com/rooms/2632171,14,4.59
187,Heritage Splendor Commercial Drive,Grandview-Woodland,49.27261,-123.0703,https://www.airbnb.com/rooms/2637519,0,4.79
188,Modern 2 Level Loft in East Van,Grandview-Woodland,49.28545,-123.06435,https://www.airbnb.com/rooms/2644110,0,4.86
189,LOCATION!!! RENOVATED!!! SLEEPS 2-4!!,Downtown,49.28044,-123.12496,https://www.airbnb.com/rooms/2653578,71,4.8
190,"266  -2 bedroom /sleeps 4 ""The Electra"" Downtown",West End,49.28169,-123.12628,https://www.airbnb.com/rooms/2658803,2,4.5
191,Laneway Home with a view,West Point Grey,49.27109,-123.2088,https://www.airbnb.com/rooms/2669445,0,4.7
192,Stroll to Granville Island from a Modern Kitsilano House,Kitsilano,49.27512,-123.15131,https://www.airbnb.com/rooms/2675179,3,4.95
193,"1 bedroom modern furnishing, cozy, & the view!",Kitsilano,49.26872,-123.15201,https://www.airbnb.com/rooms/2728122,17,4.85
194,Explore Vancouver in a Beautiful Trendy Townhouse,Mount Pleasant,49.26536,-123.09943,https://www.airbnb.com/rooms/2730555,24,4.95
195,Your Alternative to a 5 Star Hotel.,Downtown,49.27992,-123.12658,https://www.airbnb.com/rooms/2764812,11,4.88
196,Vancouver 2 bd trendy Main street,Mount Pleasant,49.25665,-123.10039,https://www.airbnb.com/rooms/2812038,14,4.93
197,Stunning Vancouver 1 bed Victorian Heritage Home,Grandview-Woodland,49.27465,-123.0669,https://www.airbnb.com/rooms/2831971,0,
198,"Water Views Downtown, Vancouver, BC",Downtown,49.27293,-123.12547,https://www.airbnb.com/rooms/2836478,0,5.0
199,Unique Loft in the Heart of Gastown,Downtown Eastside,49.28247,-123.10342,https://www.airbnb.com/rooms/2847310,31,4.94
200,Breathtaking Mountain & Water Views,Downtown,49.28945,-123.12665,https://www.airbnb.com/rooms/2876573,0,
201,Luxury Modern Apartment at Yaletown,Downtown,49.27795,-123.11734,https://www.airbnb.com/rooms/2944104,2,4.63
202,Funky Downtown Room in the West End,West End,49.29314,-123.13535,https://www.airbnb.com/rooms/2958786,17,4.78
