id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52446690,2-bedroom Private Suite in Sunset Area,424509965,Mung,,Sunset,49.21347,-123.1018,Entire home/apt,174,2,2,2021-10-18,2,1,157,2,21-292769
52466337,Modern 1BR + Parking / Great Location,201814846,Marissa,,Downtown,49.28772,-123.1247,Entire home/apt,151,2,2,2021-10-17,1.76,1,357,2,21-286742
52470513,The Jericho House - A Spa In the City,17507814,Ben,,West Point Grey,49.27165,-123.18858,Entire home/apt,221,55,0,,,1,90,0,
52470977,"Waterfront Loft - Downtown, Parking, A/C, Transit",73828010,Sayna,,Downtown,49.27627,-123.13246,Entire home/apt,165,2,0,,,1,62,0,21-293136
52471789,Modern 2-Level Loft | 5-minutes to Gastown,424727905,Scott,,Grandview-Woodland,49.285515,-123.063126,Entire home/apt,125,2,0,,,1,6,0,21-293148
52474696,Introvert’s Retreat - OG Airbnb Private Room,23069890,Rebecca,,Riley Park,49.23443,-123.10095,Private room,84,2,0,,,4,63,0,21-296831
52474777,02-Two Q bed /private bathroom & shared kitchen,424571414,Louis,,Mount Pleasant,49.25878,-123.11314,Private room,53,30,0,,,8,316,0,20-154825
52477307,Charming Modern Furnished Loft with Prime Location,4869623,Jack,,Mount Pleasant,49.26264,-123.11449,Entire home/apt,100,180,0,,,1,365,0,
52479392,"Seaside Sunshine - 1.5 br, Sleeps 5, Gorgeous View",293583929,Steve,,Downtown,49.278687,-123.10746,Entire home/apt,227,3,1,2021-10-10,1,19,238,1,21-157197
52491262,Cheerful 2-bedroom residential home/free parking,424873090,JiaLin,,Renfrew-Collingwood,49.24671,-123.05463,Entire home/apt,119,2,2,2021-10-31,2,1,346,2,21-292424
52496440,Mountain View Penthouse in Mount Pleasant / SoMa,13678599,Lindsay,,Mount Pleasant,49.26592075380269,-123.09909552754837,Entire home/apt,239,2,0,,,1,347,0,21-309326
52496643,Huge 4 Bedroom Upper Suite Good for 10 people,424914986,Sonny,,Riley Park,49.24984,-123.10131,Entire home/apt,225,2,5,2021-10-02,4.05,1,336,5,21-157809
52496977,Entire House at Cozy Laneway with Sep Entrance.,362389629,Azhar,,Kensington-Cedar Cottage,49.2368,-123.07963,Entire home/apt,182,1,2,2021-10-30,2,1,344,2,20-300266
52502475,BRAND NEW 3B SUITE! Convenient and fully equipped!,238405093,Jason,,Renfrew-Collingwood,49.23975,-123.02649,Entire home/apt,136,1,2,2021-10-15,1.71,1,351,2,21-291063
52513937,270° Ocean & Mountain CItyView-2bdrm/2bth/1prk,243367571,Terry,,Downtown,49.27953,-123.10747,Entire home/apt,269,5,3,2021-10-23,3,1,43,3,21-250945
52515788,Downtown Ocean Views - Great Location,227662329,Jordan,,Downtown,49.27837,-123.10627,Entire home/apt,115,1,1,2021-10-19,1,12,335,1,17-949658
52516564,Chic Mid Century 2 Bed Sanctuary in Prime Downtown,4292086,Anne,,Downtown,49.280945,-123.124832,Entire home/apt,150,30,0,,,18,360,0,
52519128,Amazing 1 Bedroom suite with 10 ft ceilings.,46673467,Daniel,,Hastings-Sunrise,49.2711,-123.03672,Entire home/apt,94,2,4,2021-10-26,4,2,332,4,21-157278
52523634,06-One Q bed/private bathroom & shared kitchen,424571414,Louis,,Mount Pleasant,49.2585,-123.11272,Private room,42,30,0,,,8,222,0,20-154825
52530555,19-12-4 Private room convenient to Downtown,357531934,Cora,,Mount Pleasant,49.25913,-123.07796,Private room,58,7,3,2021-10-23,2.65,17,66,3,Exempt
52530955,Two-bedroom apartment with private deck,5756380,Susan,,Kitsilano,49.26869,-123.15511,Entire home/apt,90,30,0,,,2,10,0,
52534625,08-1-double bed/shared bathroom,424571414,Louis,,Mount Pleasant,49.26082,-123.11141,Private room,30,30,0,,,8,309,0,20-154825
52537990,Rustic 1 bedroom loft - Central Downtown Vancouver,425242111,Kiki,,Downtown,49.27967,-123.12047,Entire home/apt,180,2,1,2021-10-31,1,1,346,1,21-287746
52552721,Prime Location right in the ♥ of DT! | FreePKG&Gym,386957559,May,,West End,49.28233,-123.1245,Entire home/apt,259,3,1,2021-10-30,1,2,227,1,Exempt
52552883,"Lovely 6 bed, 3 bath traditional style home",63673841,Erickson,,Hastings-Sunrise,49.2862,-123.02234,Entire home/apt,222,2,1,2021-10-17,1,1,150,1,
52553298,"HotTub, Pool, Gym&AC ♥| 3B w WaterSkyView| FreePKG",389676073,Flora,,Downtown,49.27927,-123.10978,Entire home/apt,275,1,3,2021-10-31,3,2,316,3,Exempt
52554487,Lovely 1 Bedroom with Free parking on premises.,347209254,Ross,,West End,49.28395,-123.14294,Entire home/apt,250,2,0,,,1,365,0,Exempt
52557182,EnglishBayStanleyPark New1 BedAptOceanVFreeParking,425256638,Meng,,West End,49.28301,-123.13665,Entire home/apt,229,30,2,2021-10-23,2,1,153,2,Exempt
52557298,"Custom built  3 bedroom, 2.5 bath home",83193991,Mike,,Kensington-Cedar Cottage,49.23945,-123.08775,Entire home/apt,450,14,0,,,1,288,0,21-295625
52563323,"Chic, Tranquil Loft in the Heart of Gastown!",2516068,Derrick,,Downtown Eastside,49.28341,-123.10408,Entire home/apt,300,30,0,,,1,280,0,
52583867,Rare and Stunning Vancouver Loft,329993227,Host Support,,Downtown,49.27863,-123.12258,Entire home/apt,149,1,4,2021-10-17,4,9,326,4,21-283849
52587032,Cozy Private Suite ★ Eligible for Self-Quarantine,213845376,Creamie,,Victoria-Fraserview,49.220119,-123.055672,Entire home/apt,99,30,0,,,1,164,0,
52587288,Lovely studio in West End,110684484,Alejandro,,West End,49.28162,-123.13535,Entire home/apt,125,15,0,,,5,158,0,21-296539
52587702,Vancouver Dunbar condo minimum 30days stay,272222903,Kitty,,Dunbar Southlands,49.24449,-123.18519,Entire home/apt,159,30,0,,,5,89,0,
52587772,1 bed 1.5 bath East Vancouver short / long term,423612357,Tiffany,,Hastings-Sunrise,49.27279,-123.03617,Entire home/apt,90,29,0,,,3,183,0,21-292750
52588959,OC Nice LARGE ROOM for rent MINUTES FROM OAKRIDGE!,287982975,Martha,,Marpole,49.21737,-123.12141,Private room,36,1,0,,,8,311,0,Exempt
