id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23467327,Spacious 1-Bed + Den in South Granville,74038344,Andre,,Shaughnessy,49.25755,-123.13586,Entire home/apt,89,30,0,,,1,69,0,
23480707,Lounge on the Deck and Take in the Views at a Luxe Loft,23633177,Tammy,,Fairview,49.26558,-123.12842,Entire home/apt,288,3,10,2021-08-29,0.36,2,0,3,19-163884
23482505,Warm & Stylish 1 Bedroom In Vancouver,139891966,Ishtar,,Fairview,49.25985,-123.12793,Entire home/apt,105,30,9,2018-09-07,0.22,29,171,1,
23482800,Modern Family Friendly 2 Bedroom Across VGH,139891966,Ishtar,,Fairview,49.26146,-123.12646,Entire home/apt,105,30,5,2018-06-01,0.13,29,151,0,
23487994,Suite Boutique Privée · Vancouver,61804583,Keith,,Shaughnessy,49.23871,-123.1462,Entire home/apt,104,1,204,2021-10-24,5.06,2,65,67,21-156338
23502564,"New, Minimal & Bright Townhome in a Quiet Neighbourhood",1275057,Taryn,,Downtown Eastside,49.27985,-123.08039,Entire home/apt,210,5,89,2021-06-20,2.34,1,340,7,21-156306
23505094,Beautiful three bedroom home in Central Vancouver,4390865,Kerry,,Riley Park,49.25407,-123.09863,Entire home/apt,185,3,5,2021-08-27,0.12,1,66,3,21-156746
23507938,Bright cozy house in Main St area. No stairs,12305815,Avi,,Riley Park,49.24922,-123.10643,Entire home/apt,150,7,29,2021-10-08,0.72,1,195,8,21-157252
23519364,Hip Condo • CENTRAL LOCATION • Ideal for Foodies,6705291,Tuba,,Downtown,49.28082,-123.10843,Entire home/apt,150,2,48,2019-10-25,1.16,1,0,0,19-161671
23527106,"Great apartment, superb location",6005855,Peter,,Strathcona,49.27341,-123.09975,Entire home/apt,250,7,14,2018-10-19,0.33,2,21,0,21-156455
23528634,Nelson House-Room 5 (bathroom is out of bedroom),66327125,Liduo,,West End,49.28642,-123.1341,Private room,65,30,54,2019-09-07,1.29,7,92,0,19-162160
23546911,Downtown 2-Story Townhouse w/ Private Entrance!,19059944,Kieran,,West End,49.28402,-123.12917,Entire home/apt,330,30,108,2020-02-20,2.70,5,151,2,
23547808,Modern design home steps from Commercial Drive,2344259,Alicia,,Grandview-Woodland,49.27071,-123.06682,Entire home/apt,350,3,5,2019-08-05,0.12,1,245,0,#21-156772
23559355,Level | One Bedroom Suite | Luxe Amenities,2502595,Level Hotels & Furnished Suites,,Downtown,49.27291,-123.12668,Entire home/apt,250,31,2,2021-03-20,0.07,22,219,1,
23563987,PROMO! 🎯 Bright 1 Bedroom King Suite - English Bay,135886351,Geneva,,West End,49.28465,-123.14188,Entire home/apt,191,1,20,2021-10-11,0.74,1,99,4,19-266996
23578800,Level | One Bedroom Suite | Downtown Vancouver,2502595,Level Hotels & Furnished Suites,,Downtown,49.27474,-123.12806,Entire home/apt,230,31,1,2018-08-07,0.03,22,364,0,
23583730,private room close to downtown,103324604,Angela,,Riley Park,49.2336,-123.10971,Private room,37,2,8,2018-07-01,0.19,1,0,0,19-179739
23613763,*Penthouse + Pool+GYM+Jacuzzy+ Prkng,176650735,Isabela,,Downtown,49.27915,-123.10793,Entire home/apt,850,90,10,2018-06-26,0.24,1,180,0,
23615592,Level | Modern One Bedroom | Downtown Vancouver,2502595,Level Hotels & Furnished Suites,,Downtown,49.27502,-123.12715,Entire home/apt,230,30,2,2020-09-07,0.05,22,364,0,
23615744,Level | Deluxe One Bedroom Suite | Yaletown,2502595,Level Hotels & Furnished Suites,,Downtown,49.27468,-123.12618,Entire home/apt,250,31,0,,,22,364,0,
23615892,Level | Deluxe One Bedroom Suite | Luxe Amenities,2502595,Level Hotels & Furnished Suites,,Downtown,49.27306,-123.12811,Entire home/apt,250,30,1,2020-04-17,0.05,22,364,0,
23616175,Level | Two Bedroom Suite | Downtown Vancouver,2502595,Level Hotels & Furnished Suites,,Downtown,49.27452,-123.12623,Entire home/apt,400,31,1,2021-09-19,0.61,22,364,1,
23631177,Gorgeous Yaletown boutique suite.,95217850,Mauricio,,Downtown,49.27539,-123.13316,Entire home/apt,150,5,78,2021-03-12,2.00,23,267,15,# 21-158819
23653094,LUXURY DOWNTOWN  PENTHOUSE WILL BLOW YOUR MIND,175153579,Kendall,,Downtown,49.27977,-123.10905,Entire home/apt,362,30,129,2021-01-20,4.26,1,88,5,20-161160
23667593,PATIO TIME-3 outdoor patios! sleeps 8 to 10 people,3494649,Kendra & Trevor,,Hastings-Sunrise,49.27574,-123.03745,Entire home/apt,436,3,34,2019-08-18,1.22,1,359,9,18-611534
23672204,Comfortable 2 Bedroom Private Suite Near Metrotown,52836108,Jk,,Killarney,49.22509,-123.03591,Entire home/apt,100,1,112,2019-10-13,2.93,1,0,0,20-159964
23711804,Stadium Sunrise,20986776,Victoria,,Downtown,49.27916,-123.10787,Entire home/apt,500,3,36,2019-09-22,0.84,1,168,2,20-160533
23750023,Private masteroom + your own washroom in downtown,35571562,Abbi,,Downtown,49.27465,-123.12053,Private room,63,30,48,2018-11-20,1.10,2,81,1,
23767009,RELAXING 3BED UPPER SUITE EZ TRANSIT/FOOD/PARKING,178275267,Barney And Jess,,Kensington-Cedar Cottage,49.2443,-123.0616,Entire home/apt,275,3,107,2019-12-17,2.52,1,82,17,21-156446
23769053,Quiet and Peaceful Basement Suite Studio,3092935,Brad,,Downtown Eastside,49.27925,-123.08842,Entire home/apt,59,60,11,2019-06-29,0.26,10,0,3,
23769826,Amazing 1BR Apartment in the Olympic Village,167708643,Allison,,Mount Pleasant,49.27024,-123.10181,Entire home/apt,129,30,45,2018-09-13,1.02,1,59,4,
23771188,Casa Amelie Downtown Vancouver 1 bedroom condo,31304279,Monica,,Downtown,49.28389,-123.11562,Entire home/apt,160,30,0,,,1,0,0,
23773053,Brilliant corner loft in Gastown!,178348855,Paul,,Downtown Eastside,49.2833,-123.10495,Entire home/apt,107,30,25,2019-06-07,0.58,1,26,1,
23800634,Charming 2 Bedroom Ground Floor Artist's Home,176226893,Anita,,Kerrisdale,49.2324,-123.15844,Entire home/apt,195,3,37,2021-10-19,0.90,1,321,10,21-156375
23816739,"Single detached , corner home",178767690,Levy,,Riley Park,49.23498,-123.09053,Private room,40,1,2,2018-09-28,0.05,2,0,0,19-163539
23827382,Fairview 3 Bed Townhome Oasis (min 30 days),4292086,Anne,,Fairview,49.26357,-123.12267,Entire home/apt,175,30,11,2020-06-10,0.40,18,212,2,
23834095,Huge Balcony! 1 Bd near Yaletown and Seawall,178801067,Brian,,Downtown,49.27536,-123.12655,Entire home/apt,149,1,111,2019-12-26,2.81,2,0,0,19-162456
23856693,2 BRs at Comfort & Clean House in Van East,78927738,Victoria,,Kensington-Cedar Cottage,49.23416,-123.08919,Private room,90,1,15,2018-08-07,0.34,2,0,0,19-161122
23857168,2 Clean and Warm BRs in Van East,78927738,Victoria,,Kensington-Cedar Cottage,49.23386,-123.08794,Private room,60,1,8,2018-09-30,0.21,2,0,0,19-161122
23862530,Modern and Comfortable East Van Home,134433899,Erica,,Kensington-Cedar Cottage,49.24988,-123.0721,Entire home/apt,285,3,5,2019-02-06,0.13,1,128,0,21-156564
23874906,Cozy 1 bedroom basement suite,48890957,Ryan,,Oakridge,49.22386,-123.11859,Private room,100,2,55,2019-11-30,1.41,1,0,0,19-160962
23885617,"*NEW* 1BR+Den Olympic Village! Patio, Parking",9085924,Gerry,,Mount Pleasant,49.26873,-123.10876,Entire home/apt,90,31,122,2021-01-24,2.92,3,201,7,21-163602
23902297,Furnished bedroom and garden - 5 mins to downtown,138741347,Neal,,South Cambie,49.2546,-123.12656,Private room,35,30,0,,,2,232,0,
23949937,开心果家庭旅馆,179895629,Kara,,Shaughnessy,49.23802,-123.12828,Private room,95,1,75,2019-09-13,1.71,1,0,0,18-551880
23966025,Great Cambie St. guest Suite - close to downtown,56748175,Peter,,South Cambie,49.25457,-123.11622,Entire home/apt,90,5,9,2021-04-06,0.67,1,0,6,21-158897
23976574,Brand new condo Olympic Village,83930545,Sara,,Mount Pleasant,49.26844,-123.109,Entire home/apt,130,30,34,2019-02-18,0.84,2,1,6,21-105100
23976814,Studio Condo in Olympic Village (brand new),83930545,Sara,,Mount Pleasant,49.27079,-123.10741,Entire home/apt,85,30,74,2021-04-19,1.87,2,56,10,21-105100
23985693,"New! Private 2-bed near Main, family/dog friendly",614001,Kate,,Riley Park,49.25512,-123.09454,Entire home/apt,153,2,17,2021-09-22,6.07,1,288,17,21-244342
23991651,NEW KITSILANO 2 bdrm kid friendly home,53967300,Carlos,,Kitsilano,49.26417,-123.16089,Entire home/apt,300,5,7,2020-01-03,0.17,2,210,2,18-569987
24000674,"PRIVATE 1.5 Br Garden suite, CENTRAL",3655825,Jessica,,South Cambie,49.25269,-123.12462,Entire home/apt,78,30,4,2019-08-27,0.11,1,229,0,18-581825
24016633,"Cozy Private Suite, Great Shaughnessy Location",180741245,Easter Seals House,,Shaughnessy,49.25011,-123.12779,Entire home/apt,75,1,15,2019-05-26,0.38,21,10,1,18-547315
24016781,Corporate Stays | Telus | Modern and open 1BR,38459934,Corporate Stays,,Downtown,49.28123,-123.11659,Entire home/apt,149,30,0,,,28,45,0,
24024651,New 2 BR＋parking＋skytrain,129513006,Ivy,,Oakridge,49.22203,-123.11669,Entire home/apt,120,2,35,2019-09-22,1.38,2,0,0,20160053
24066686,White & Bright Two Bed Two Bath Across VGH,139891966,Ishtar,,Fairview,49.26163,-123.12808,Entire home/apt,135,30,5,2021-07-14,0.13,29,341,2,
24066913,Quaint & Quiet 1 Bed 1 Bath In Vancouver,139891966,Ishtar,,Fairview,49.26158,-123.12615,Entire home/apt,105,30,4,2021-07-10,0.14,29,163,2,
24088415,New 2br private basement ＋skytrain,129513006,Ivy,,Oakridge,49.22481,-123.11777,Entire home/apt,120,2,47,2019-03-31,1.11,2,0,0,20160053
24096582,luxurious apartment,172935704,Ali,,West End,49.28683,-123.12736,Entire home/apt,150,30,3,2019-07-18,0.07,4,180,0,
24100729,Corporate Stays | Telus | Modern 1BR,38459934,Corporate Stays,,Downtown,49.2816,-123.11712,Entire home/apt,149,30,1,2018-08-16,0.03,28,0,0,
24105549,New/Private Entry/Clean Protocol/Luxury/Point Grey,111469368,Marci,,West Point Grey,49.264,-123.19444,Entire home/apt,307,2,105,2021-10-09,2.45,2,14,24,21-157166
24119846,Beautiful Room in the Heart of Kitsilano Beach,107176582,Lyn,,Kitsilano,49.2733,-123.15572,Private room,66,30,6,2021-08-18,0.15,1,259,1,
24133046,Luxury 1 Bedroom Condo in Trendy Strathcona,115868438,Heidi,,Downtown Eastside,49.28244,-123.08245,Entire home/apt,156,3,7,2021-10-31,2.63,1,158,7,21-252432
24134940,Family Home off Main Street,25473957,Glencora,,Riley Park,49.24891,-123.09959,Entire home/apt,378,2,37,2019-08-11,0.95,1,125,4,21-156359
24140085,"Newly renovated heritage home, great 'hood",18767885,Shauna,,Grandview-Woodland,49.28032,-123.05944,Entire home/apt,350,5,5,2019-07-06,0.13,1,0,0,19-162261
24160835,Newly Renovated & Fully Furnished Downtown Studio,182069543,Iryna,,Downtown,49.2778,-123.12404,Entire home/apt,89,30,16,2021-08-31,0.38,1,206,6,
24161747,"Private, Quiet, Coach House in Vancouver",72129028,Jason,,Victoria-Fraserview,49.21895,-123.06996,Entire home/apt,108,3,69,2020-03-07,1.81,3,0,6,21-156232
24167131,2 BR + 2 Bath Condo in Heart of Downtown,102554136,Bonnie,,West End,49.2867,-123.12599,Entire home/apt,133,30,5,2020-09-30,0.13,5,365,0,
24183385,5/5 Stars Designer Home Central Westside Vancouver,182271089,Julia,,Riley Park,49.2343,-123.10811,Entire home/apt,1200,3,49,2020-03-08,1.26,1,63,2,19-162555
24185448,Kits Beach Loft,20476536,Catherine,,Kitsilano,49.26837,-123.15531,Entire home/apt,200,30,24,2018-08-16,0.57,1,160,1,18-559212
24206329,Stunning mountain and ocean view 2 bedroom.,75487249,Lynette,,Downtown,49.27486,-123.1328,Entire home/apt,214,3,148,2021-10-17,3.96,1,220,38,21 156456
24250201,Downtown Vancouver Luxury Furnished Condo,95217850,Mauricio,,Downtown,49.28327,-123.11642,Entire home/apt,90,30,6,2020-10-04,0.15,23,294,0,
24253909,Dunbar Blue House 3_Polar Bear,180824391,Andrea,,Dunbar Southlands,49.25533,-123.18469,Private room,120,2,47,2021-08-06,1.24,1,192,7,# 21- 156443
24277925,Immaculate! Corner Unit! Views! Pool! Gym!Parking!,76816644,Renato,,Downtown,49.27889,-123.10794,Entire home/apt,253,2,191,2020-03-04,4.54,1,114,34,21-156323
24293792,Luxury 3 bedrooms house in central Vancouver,183269408,Tracy,,Riley Park,49.25544,-123.11016,Entire home/apt,257,1,172,2021-09-12,4.09,1,115,39,21-156291
24310129,Brand New Private Studio in central Mount Pleasant,59846096,Sarah,,Riley Park,49.24531,-123.09538,Private room,85,3,143,2020-01-31,3.39,1,51,8,21-156840
24313445,BIG COZY BOHO ROOM  WITH FREE PARKING,26230655,Willem,,Downtown Eastside,49.276779,-123.091438,Private room,72,1,199,2021-09-14,5.06,2,28,14,20-160852
24328155,Beautiful character family home,2237565,Jaclyn,,West Point Grey,49.26301,-123.20226,Entire home/apt,300,3,0,,,1,170,0,18-610661
24328404,Summer vacation home! IN DOWNTOWN Vancouver!,75669015,Peter,,Downtown,49.27955,-123.12056,Entire home/apt,300,31,0,,,1,0,0,
24335614,1 Bedroom Apartment 2 Blocks from Sunset Beach,173859564,Melanie,,West End,49.27993,-123.13258,Entire home/apt,103,2,23,2019-02-11,0.61,1,0,0,19-162050
24337332,Kitsilano Comfort,20517828,John,,Kitsilano,49.26242,-123.17828,Entire home/apt,90,5,25,2019-07-03,0.59,2,250,5,19-163872
24358269,"2 Bedrooms near Skytrain, Shopping in Vancouver",58189935,Marina,,Killarney,49.23098,-123.03564,Entire home/apt,125,2,84,2021-10-23,1.97,2,219,19,21-156538
24372189,Modern Living in Coal Harbour.,397721,Svet Savova,,Downtown,49.28833,-123.12272,Entire home/apt,238,2,63,2019-06-11,1.71,1,68,2,19-161041
24372539,🌟Heart of Downtown🌟WALK TO SHOPS/DINING/OCEAN🆓PRKG,156808817,Persia,,Downtown,49.28614,-123.12327,Entire home/apt,164,1,182,2021-10-05,4.40,2,81,23,21-156442
24377235,Furnished 2br + den in Heart of Vancity,5824910,BnB,,Downtown,49.27502,-123.12303,Private room,95,30,16,2018-10-14,0.39,1,364,0,18561738
24378747,"Master Bedroom, Private Bath&Balcony Good Location",94416838,Jacky,,Victoria-Fraserview,49.22935,-123.06526,Private room,70,1,156,2021-10-04,3.68,1,65,35,21-157013
24379068,Creative Historical Home with Backyard Lounge,183998473,Scott,,Riley Park,49.24895,-123.09842,Entire home/apt,150,30,49,2019-09-01,1.75,1,155,1,19-162404
24379576,A Gem in the Heart of Yaletown,182951403,Gen,,Downtown,49.27914,-123.12078,Entire home/apt,180,4,55,2021-10-31,1.32,1,148,16,21-156228
24380721,Beautiful & Private 3 Brms/2 Bath Suite,176820001,Sue,,West Point Grey,49.26881,-123.21097,Entire home/apt,392,2,34,2019-08-18,0.80,1,0,0,20-159855
24389296,Vancouver Downtown 2BR: floor-to-ceiling windows!!,317618,Edgar,,West End,49.28062,-123.12768,Entire home/apt,255,1,17,2021-08-30,0.42,9,0,2,Exempt
24391564,*Min 6 mo lease* Furnished executive 2 bed 2 bath,2538574,Jaime,,Mount Pleasant,49.27193,-123.10172,Entire home/apt,115,180,0,,,1,0,0,
24413898,Charming 2 Bedroom Private Space,180062569,Kelly,,Renfrew-Collingwood,49.24881,-123.04398,Entire home/apt,99,2,56,2019-11-11,1.36,1,0,2,21-157776
24444391,EXCELLENT LOCATION 2BD+2BATH APT-YALETOWN,184292903,Chris,,Downtown,49.27794,-123.11912,Entire home/apt,225,30,32,2019-11-18,0.81,1,179,0,19-161097
24450782,Private Room in Kitsilano Heritage Home,28469375,Geraldine,,Kitsilano,49.27097,-123.18327,Entire home/apt,117,3,138,2021-06-04,3.48,2,47,30,21-157269
24455362,Near airport and mall!  Master BR with ensuite,17872558,David,,Marpole,49.21422,-123.11421,Private room,116,3,8,2019-07-01,0.36,2,75,0,21-156282
24469246,Minimal + Bright 3BR House for Quiet Getaways,18871578,Gillian,,West Point Grey,49.26299,-123.20275,Entire home/apt,280,2,8,2018-09-23,0.19,1,0,0,18-550139
24471332,Heritage-era main-floor suite in trendy Kitsilano,6122887,David,,Kitsilano,49.26055,-123.1821,Entire home/apt,149,7,16,2019-06-17,0.40,3,0,1,19-162791
24474689,Spacious Gastown Loft | 20ft ceiling,16750396,Eddie And Marv,,Downtown Eastside,49.28182,-123.10361,Entire home/apt,246,2,115,2021-10-05,3.01,4,352,17,21-156814
24500508,Sophisticated High-rise Suite with Vancouver Views & Parking,185085297,Met,,Downtown,49.2886,-123.12313,Entire home/apt,226,2,111,2020-03-11,2.85,1,36,1,21-156370
24501265,Your Home in Downtown Vancouver with Parking,185092131,Toma,,West End,49.28629,-123.125,Entire home/apt,158,2,256,2021-10-16,7.34,1,58,52,21-156907
24503070,Modern 4Bed Family Home w/ Mountain View,21573772,Steph,,Grandview-Woodland,49.27972,-123.06113,Entire home/apt,300,3,4,2019-06-11,0.10,1,10,0,18-561800
24517031,Sunny Bedroom for One in Vancouver Heritage house,3150401,Heather,,Kensington-Cedar Cottage,49.25614,-123.07643,Private room,50,1,2,2018-08-26,0.05,3,0,0,18-549634
24528249,Helen's House/ Near Skytrain & Airport,28946580,Wen,,Marpole,49.21279,-123.11202,Entire home/apt,104,1,106,2021-10-18,3.36,2,141,19,21-156231
24559993,"Great Location! Clean, Comfy Studio + Free Parking",2568168,Jenni,,Downtown,49.27757,-123.13088,Entire home/apt,98,20,33,2020-10-02,1.29,1,35,0,18-549209
24561319,"NEW! Lovely Renovated 1BR, Central Van, 20minYVR",73177526,Steven,,Victoria-Fraserview,49.21777,-123.06271,Entire home/apt,108,1,4,2021-10-24,2.22,1,41,4,21-282144
24574485,Modern Cozy Apt - Water views in Coal Harbour +Pkg,79137483,Sadaf,,Downtown,49.28994,-123.12727,Entire home/apt,107,30,3,2021-11-05,0.07,2,0,1,
24583987,A  quiet hideaway for the budget traveller,31938506,Kevin,,Sunset,49.21368,-123.07826,Private room,46,14,33,2019-06-11,1.02,1,0,0,19162379
24634635,"Clean, Bright & Modern",23681093,Noel,,Kensington-Cedar Cottage,49.25214,-123.08713,Entire home/apt,259,3,2,2018-08-08,0.05,1,0,0,18-569070
24646416,Roam Vancouver in Style from a Chic Hideout,186084821,Jean-Francis,,Riley Park,49.24618,-123.10192,Entire home/apt,238,2,145,2021-10-10,3.67,2,0,32,21-156392
24650295,176 Furnished 1 Bedroom water view Coal Harbour,600607,Bruce,,Downtown,49.29074,-123.12746,Entire home/apt,97,30,2,2020-02-09,0.08,46,13,0,
24658451,Tidy apartment in the heart of the action,22623541,James,,Fairview,49.26181,-123.13425,Entire home/apt,120,3,3,2018-12-29,0.08,1,0,0,18-596187
24658559,Bright Family Friendly 4 Bedroom Home w Patio,114371452,Jill,,Mount Pleasant,49.25657,-123.07819,Entire home/apt,300,30,30,2021-07-31,0.87,2,0,3,21-156528
24671100,Charming Strathcona Gem,4177367,Lily,,Downtown Eastside,49.27893,-123.0827,Entire home/apt,225,2,58,2019-08-18,2.02,1,0,0,19-184853
24703143,Beautiful Yaletown 2 Bedroom Apartment + Parking,186707248,Archie,,Downtown,49.2791,-123.11925,Entire home/apt,176,2,157,2021-10-14,4.14,1,65,34,21-174590
24718014,Beautiful Fully Furnished Suite,186837058,Sunny,,Arbutus Ridge,49.25461,-123.16567,Entire home/apt,50,30,2,2019-06-01,0.05,1,190,0,
24721816,4 Bed Condo w/Private Patio centered in Downtown,293583929,Steve,,Downtown,49.27867,-123.10852,Entire home/apt,267,2,86,2021-05-01,2.90,19,321,18,21-156495
24738177,Lakeside apartment,25509896,Cara,,Kensington-Cedar Cottage,49.2575,-123.0569,Entire home/apt,78,4,4,2018-06-07,0.11,1,0,0,18-554211
24738337,Modern Top Floor with Sunset Views,34793582,Kevin,,Mount Pleasant,49.25913,-123.08856,Entire home/apt,299,2,25,2019-10-13,0.81,3,359,0,Exempt
24748690,Modern two bedroom condo in fantastic location,134979986,Jennifer,,Fairview,49.26739,-123.14272,Entire home/apt,200,3,41,2020-01-01,1.03,1,0,3,21-156237
24753409,Private and Cozy Home in Kerrisdale,122089413,Yin,,Kerrisdale,49.22929,-123.1643,Private room,200,1,1,2018-12-30,0.03,1,365,0,19-186260
24754197,1BDR Cozy Unit- Wifi- w4th UBC,82402482,Carol,,Kitsilano,49.26662,-123.17683,Entire home/apt,100,30,4,2021-06-26,0.10,2,169,2,
24756081,"Location, Location, Location
Super Sparkly Sweet",187166550,Sher,,Kitsilano,49.26851,-123.15162,Entire home/apt,350,2,110,2021-09-05,2.61,1,0,9,20-159942
24757245,one bedroom suite Downtown Vancouver Yaletown,184419461,Stan,,Downtown,49.27671,-123.1169,Entire home/apt,140,30,1,2018-05-25,0.02,1,0,0,
24776354,Heritage private suite near beach with huge yard,5168463,Kiley,,West Point Grey,49.27035,-123.21757,Entire home/apt,166,2,81,2021-08-14,2.34,1,239,20,21-156523
24797319,A jewel in the city,47853499,Marie,,Riley Park,49.24476,-123.09356,Entire home/apt,180,3,8,2018-07-28,0.19,1,0,0,18-557-163
24800538,Yaletown Modern,3004945,Julie,,Downtown,49.27351,-123.1271,Entire home/apt,99,31,12,2021-04-16,0.36,2,127,5,21-160695
24801728,modern family home near commercial drive,25751773,Theresa,,Grandview-Woodland,49.26871,-123.05945,Entire home/apt,199,3,3,2018-09-16,0.07,1,0,0,18-557384
24809164,Cozy Suite in Vancouver Bungalow,1741913,Darragh & Deanna,,Hastings-Sunrise,49.27343,-123.03806,Private room,65,2,81,2020-03-08,1.97,1,0,9,20-159898
24826232,Shaughnessy Garden Suite,12300194,Lester,,Shaughnessy,49.24996,-123.13693,Entire home/apt,201,3,37,2021-09-06,1.21,1,154,5,21-156648
24830620,Downtown high-rise 2 Bedroom Condo (Worldmark),187709716,Jon,,Downtown,49.27997,-123.12491,Entire home/apt,350,7,0,,,1,7,0,Exempt
24832706,Spacious and Modern South Granville Terrace Home.,177048474,Randi,,Shaughnessy,49.25356,-123.14052,Entire home/apt,165,3,77,2020-10-30,1.98,2,0,1,20159947
24835418,Garden Studio Suite off Commercial Drive!,182517955,Pamela,,Grandview-Woodland,49.27264,-123.06388,Entire home/apt,154,2,130,2021-10-16,3.25,1,163,21,21-156535
24853244,Spacious private room in cute character house,186632727,Susan,,Grandview-Woodland,49.27277,-123.06192,Private room,85,4,6,2018-08-18,0.15,1,0,0,18-550384
24874294,Katie's House-Spacious Room with Mountain/Sea View,53549710,Manna,,Dunbar Southlands,49.25236,-123.18453,Private room,85,2,19,2018-10-22,0.49,1,0,0,18-582983
24876227,Beautiful 3Bedroom MountainView House in Vancouver,188067811,Long,,Renfrew-Collingwood,49.25468,-123.05223,Entire home/apt,140,1,175,2021-10-12,5.04,1,301,28,21-156770
24886919,Great Value Central Downtown Gem!!!,188147834,Kristina,,Downtown,49.28041,-123.1249,Entire home/apt,129,2,8,2019-07-05,0.19,1,0,0,19-161708
24890710,"Central two bdrm character home, deck and garden",2253467,Karen,,Hastings-Sunrise,49.28755,-123.04866,Entire home/apt,169,5,5,2018-07-30,0.13,2,0,0,Licence #18-560536
24895883,Beautiful home by Lake in Vancouver,90879009,Conrad,,Kensington-Cedar Cottage,49.25204,-123.06112,Entire home/apt,425,4,4,2018-07-29,0.10,1,0,0,19-161614
24896061,Clean and Comfy Condo in Downtown Vancouver,16143622,Gen,,Downtown,49.2804,-123.12469,Entire home/apt,118,2,32,2020-01-15,1.43,1,0,6,21-156544
24918275,Roomy 2 Bedroom Across VGH In Vancouver,139891966,Ishtar,,Fairview,49.26196,-123.12665,Entire home/apt,135,30,6,2021-06-30,0.15,29,292,1,1855
24920942,Entire apartment Central Downtown Vancouver!,57390399,Andrew,,West End,49.28927,-123.13857,Entire home/apt,110,2,4,2018-11-18,0.11,1,0,0,19-162620
24943344,The Mark with a view of False Creek,145450031,Michael,,Downtown,49.2749,-123.12689,Entire home/apt,199,30,70,2019-10-03,1.74,1,36,3,21-156567
24946435,Outstanding views!  Free parking.pool A/C Licensed,187881364,Vic,,Downtown,49.27887,-123.10727,Entire home/apt,353,3,64,2021-09-13,64,1,354,13,21-156539
24948099,Large Room in Lively Walkable Neighbourhood,57488206,Jessi,,Hastings-Sunrise,49.28201,-123.05644,Private room,65,4,1,2018-09-28,0.03,3,0,0,18-613047
24961531,Furnished 1 bedroom unit in the heart of the city!,106622944,A,,Downtown,49.28078,-123.12474,Entire home/apt,110,30,11,2020-11-30,0.28,2,270,3,Exempt
24968566,Trinity Enclave,4944151,Margaret,,Hastings-Sunrise,49.29005,-123.0551,Private room,71,3,77,2021-10-17,2.06,1,142,8,21-156573
24972517,Corkscrew Willow Estate,183964355,Jamie,,Arbutus Ridge,49.25628,-123.17667,Entire home/apt,911,2,97,2021-10-26,2.43,1,314,14,21-156242
24993810,Trendy Downtown 2 Bedroom Condo,23977001,Emma,,Downtown,49.28106,-123.12318,Entire home/apt,140,30,5,2020-01-26,0.14,12,292,0,
25016941,The House room # 3,141360456,Leo,,Renfrew-Collingwood,49.23995,-123.0494,Private room,23,1,49,2019-01-12,1.22,2,0,0,19-161513
25034146,Forest Hideaway In The City • Hot tub! • by UBC,141458230,Janna,,Dunbar Southlands,49.23277,-123.19773,Entire home/apt,256,5,63,2020-02-23,1.83,1,346,25,Exempt
25068423,Cozy home on South Granville.,22516957,Hong Phuong,,Marpole,49.21477,-123.13386,Entire home/apt,250,1,50,2019-10-27,1.27,1,330,3,21-157684
25074332,Charming South Granville 1 Bed 1 Bath,139891966,Ishtar,,Fairview,49.26196,-123.12688,Entire home/apt,106,30,7,2020-07-12,0.21,29,288,1,18-556861
25076407,Living in style - Room A,189413853,Irene,,Hastings-Sunrise,49.27696,-123.02632,Private room,90,2,13,2018-09-23,0.32,3,67,2,20-160115
25080824,Spacious Heritage Home in Vancouver,3150401,Heather,,Kensington-Cedar Cottage,49.25586,-123.07623,Entire home/apt,195,3,2,2018-05-15,0.05,3,0,0,18-549634
25087027,"Private studio 1 bed,1 washroom",161213459,Jessi,,Kensington-Cedar Cottage,49.23362,-123.07861,Private room,64,1,177,2021-09-21,4.40,1,107,47,21-157060
25102944,"★ Cozy Garden Suite, private, clean, close to DT!",35833081,Nicole And Paul,,Kensington-Cedar Cottage,49.25898,-123.06895,Entire home/apt,142,2,232,2021-10-17,5.86,1,150,60,21-156578
25103609,"Close & convenient in Vancouver 
Spacious living !",5438862,William,,Oakridge,49.22971,-123.112,Private room,49,30,74,2020-02-18,2.03,5,0,0,Exempt
25108729,Great Garden Suite in Ideal Location,56361030,Nicole And Bob,,Kitsilano,49.25961,-123.18454,Entire home/apt,140,3,50,2019-11-03,1.32,1,0,0,18-561119
25109301,Bright & Luxurious Home in the Heart of Downtown,155141803,Ali,,West End,49.28627,-123.12757,Entire home/apt,295,1,23,2019-09-01,0.72,2,0,0,19-162577
25128702,Executive Rental on High End Downtown Street,3092935,Brad,,West End,49.28408,-123.12304,Entire home/apt,110,30,13,2018-10-10,0.36,10,220,0,
25130708,Alison & Dan's place,2317911,Alison,,Hastings-Sunrise,49.27572,-123.04026,Entire home/apt,300,4,1,2018-08-01,0.03,1,0,0,18-565973
25142791,Lovely home & great neighborhood,59265845,Chris,,Grandview-Woodland,49.27416,-123.06224,Entire home/apt,101,2,109,2021-10-09,2.91,1,16,19,21-157338
